lfd. Nummer,ID Nummer,Artikelart,Benennung,Artikelbezeichnung,Menge EVO Spartan,Menge EVO Lightweight,Menge EVO Balance,default_code,Einzelpreis_raw,Gesamtpreis_raw,Packungspreis_raw,Packungsmenge,Kommentar,qty_spartan,qty_lightweight,qty_balance,qty_unit,unit_price_eur,unit_price_unit,total_price_eur,pack_price_eur,pack_price_unit,pack_qty,pack_qty_unit,warehouse_id
46,9.3,Eigenfertigung,Fuß EVO2 Spartan rot,Fuß 35mm Spartan rot,4 stk.,0,0,V_RED_31,"0,21€/stk.","1,62€","",0,"Arbeitsplan angelegt",4.0,0,0,stk.,0.21,€/stk.,1.62,0,"",0,"",020.2.002
47,9.3.1,Kaufartikel,PLA Filament - Rot,PLA Filament 3mm - Rot,"22,37 g",0,0,V_RED_9,"0,03€/g","0,67€","29,99€","1000 g","passt",22.37,0,0,g,0.03,€/g,0.67,29.99,€,1000.0,g,019.1.002
48,9.4,Eigenfertigung,Fuß EVO2 Spartan grün,Fuß 35mm Spartan grün,4 stk.,0,0,V_GREEN_31,"0,21€/stk.","1,62€","",0,"Arbeitsplan angelegt",4.0,0,0,stk.,0.21,€/stk.,1.62,0,"",0,"",020.2.003
49,9.4.1,Kaufartikel,PLA Filament - Grün,PLA Filament 3mm - Grün,"22,37 g",0,0,V_GREEN_9,"0,03€/g","0,67€","29,99€","1000 g","passt",22.37,0,0,g,0.03,€/g,0.67,29.99,€,1000.0,g,019.1.003
50,9.5,Eigenfertigung,Fuß EVO2 Spartan blau,Fuß 35mm Spartan blau,4 stk.,0,0,V_BLUE_31,"0,21€/stk.","1,62€","",0,"Arbeitsplan angelegt",4.0,0,0,stk.,0.21,€/stk.,1.62,0,"",0,"",020.2.004
51,9.5.1,Kaufartikel,PLA Filament - Blau,PLA Filament 3mm - Blau,"22,37 g",0,0,V_BLUE_9,"0,03€/g","0,67€","29,99€","1000 g","passt",22.37,0,0,g,0.03,€/g,0.67,29.99,€,1000.0,g,019.1.004
52,9.6,Eigenfertigung,Fuß EVO2 Spartan braun,Fuß 35mm Spartan braun,4 stk.,0,0,V_BROWN_31,"0,21€/stk.","1,62€","",0,"Arbeitsplan angelegt",4.0,0,0,stk.,0.21,€/stk.,1.62,0,"",0,"",020.2.005
53,9.6.1,Kaufartikel,PLA Filament - Braun,PLA Filament 3mm - Braun,"22,37 g",0,0,V_BROWN_9,"0,03€/g","0,67€","29,99€","1000 g","passt",22.37,0,0,g,0.03,€/g,0.67,29.99,€,1000.0,g,019.1.005
54,9.7,Eigenfertigung,Fuß EVO2 Spartan orange,Fuß 35mm Spartan orange,4 stk.,0,0,V_ORANGE_31,"0,21€/stk.","1,62€","",0,"Arbeitsplan angelegt",4.0,0,0,stk.,0.21,€/stk.,1.62,0,"",0,"",020.2.006
55,9.7.1,Kaufartikel,PLA Filament - Orange,PLA Filament 3mm - Orange,"22,37 g",0,0,V_ORANGE_9,"0,03€/g","0,67€","29,99€","1000 g","passt",22.37,0,0,g,0.03,€/g,0.67,29.99,€,1000.0,g,019.1.006
56,9.8,Eigenfertigung,Fuß EVO2 Spartan schwarz,Fuß 35mm Spartan schwarz,4 stk.,0,0,V_BLACK_31,"0,21€/stk.","1,62€","",0,"Arbeitsplan angelegt",4.0,0,0,stk.,0.21,€/stk.,1.62,0,"",0,"",020.2.007
