id,default_code,name,type,categ_id/id,uom_id/id,uom_po_id/id,route_ids/id,work_instruction_code,routing_code,quality_control_code,logistics_area,warehouse_location,warehouse_id,circular_tag
prod_020_2_017,020.2.017,Fuß EVO2 Balance gelb,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-4-B,020.2.017,reparable
prod_020_2_018,020.2.018,Fuß EVO2 Balance rot,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-4-C,020.2.018,reparable
prod_020_2_019,020.2.019,Fuß EVO2 Balance grün,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-4-D,020.2.019,reparable
prod_020_2_020,020.2.020,Fuß EVO2 Balance blau,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-5-A,020.2.020,reparable
prod_020_2_021,020.2.021,Fuß EVO2 Balance braun,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-5-B,020.2.021,reparable
prod_020_2_022,020.2.022,Fuß EVO2 Balance orange,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-5-C,020.2.022,reparable
prod_020_2_023,020.2.023,Fuß EVO2 Balance schwarz,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-5-D,020.2.023,reparable

prod_019_1_009,019.1.009,Acryl Glasplatte - weiß,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_02,AP_LASERCUTTER,,Lasercutter,101D-2,019.1.009,recyclable
prod_019_1_011,019.1.011,Acryl Glasplatte - blau,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_02,AP_LASERCUTTER,,Lasercutter,101D-3,019.1.011,recyclable
prod_019_1_013,019.1.013,Acryl Glasplatte - schwarz,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_02,AP_LASERCUTTER,,Lasercutter,101D-4,019.1.013,recyclable

prod_007_1_000,007.1.000,Lötzinn,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_060,AP_LOETEN,,Lötplatz,101D-4-C,007.1.000,consumable
prod_019_1_000,019.1.000,PLA Filament - Weiß,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_030_01,AP_3DDRUCK_MAT,,3D-Druck,101C-2-B,019.1.000,recyclable
prod_019_1_001,019.1.001,PLA Filament - Gelb,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_030_01,AP_3DDRUCK_MAT,,3D-Druck,101C-2-C,019.1.001,recyclable
prod_019_1_002,019.1.002,PLA Filament - Rot,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_030_01,AP_3DDRUCK_MAT,,3D-Druck,101C-1-A,019.1.002,recyclable
prod_019_1_003,019.1.003,PLA Filament - Grün,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_030_01,AP_3DDRUCK_MAT,,3D-Druck,101C-2-D,019.1.003,recyclable
prod_019_1_004,019.1.004,PLA Filament - Blau,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_030_01,AP_3DDRUCK_MAT,,3D-Druck,101C-1-B,019.1.004,recyclable
prod_019_1_005,019.1.005,PLA Filament - Braun,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_030_01,AP_3DDRUCK_MAT,,3D-Druck,101C-2-A,019.1.005,recyclable
prod_019_1_006,019.1.006,PLA Filament - Orange,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_030_01,AP_3DDRUCK_MAT,,3D-Druck,101C-1-C,019.1.006,recyclable
prod_019_1_007,019.1.007,PLA Filament - Schwarz,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_030_01,AP_3DDRUCK_MAT,,3D-Druck,101C-1-D,019.1.007,recyclable
